Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,,,
James L. Carr Jr.,Male,Black,,,No,No,North Carolina,5/17/22,Senator,N/A,"21,903",4%,,,
Robert Colon,Male,White,,,No,No,North Carolina,5/17/22,Senator,N/A,"6,904",1%,,,
Alyssia Rose-Katherine Hammond,Female,Black,,,No,No,North Carolina,5/17/22,Senator,N/A,"21,005",3%,,,
"Constance ""Lov"" Johnson",Female,Black,,,No,No,North Carolina,5/17/22,Senator,N/A,"12,500",2%,,,
Tobias LaGrone,Male,Black,,,No,No,North Carolina,5/17/22,Senator,N/A,"5,048",1%,,,
B.K. Maginnis,Male,White,,,No,No,North Carolina,5/17/22,Senator,N/A,"7,044",1%,,,
Rett Newton,Male,White,,,No,No,North Carolina,5/17/22,Senator,N/A,"10,043",2%,,,
Marcus W. Williams,Male,Black,,,No,No,North Carolina,5/17/22,Senator,N/A,"17,446",3%,,,
Greg Antoine,Male,Black,,,No,No,North Carolina,5/17/22,Senator,N/A,"5,179",1%,,,
Cheri Beasley,Female,Black,,,No,No,North Carolina,5/17/22,Senator,N/A,"5,01,766",81%,,,
Chrelle Booker,Female,Black,,,No,No,North Carolina,5/17/22,Senator,N/A,"9,937",2%,,,
Don Davis,Male,Black,,,No,No,North Carolina,5/17/22,Representative,1,"42,693",63%,,,
Erica D. Smith,Female,Black,,,No,No,North Carolina,5/17/22,Representative,1,"21,012",31%,,,
Jason Albert Spriggs,Male,Black,,,No,No,North Carolina,5/17/22,Representative,1,"2,123",3%,,,
Jullian C. Bishop Sr.,Male,Black,,,No,No,North Carolina,5/17/22,Representative,1,"1,752",3%,,,
Deborah K. Ross,Female,White,,,Yes,No,North Carolina,5/17/22,Representative,2,1,100%,,,
Barbara D. Gaskins,Female,Black,,,No,No,North Carolina,5/17/22,Representative,3,"23,051",81%,,,
Joe Swartz,Male,White,,,No,No,North Carolina,5/17/22,Representative,3,"5,495",19%,,,
Crystal Cavalier,Female,Native American (Saponi),,,No,No,North Carolina,5/17/22,Representative,4,"1,116",1%,,,
Valerie P. Foushee,Female,Black,,,No,No,North Carolina,5/17/22,Representative,4,"40,806",46%,,,
Matt Grooms,Male,White,,,No,No,North Carolina,5/17/22,Representative,4,435,0%,,,
Stephen J. Valentine,Male,Black,,,No,No,North Carolina,5/17/22,Representative,4,"1,023",1%,,,
Ashley Ward,Female,White,,,No,No,North Carolina,5/17/22,Representative,4,"4,767",5%,,,
